名字,开放时间,评分,建议游玩时间,门票,来源城市
"关山草原Guanshan Grasslands",08:00-18:00,4.4,4.5,55,宝鸡
"兴隆山自然保护区Xinglongshan Natural Reserve",8:00-17:00,4.4,12,40,兰州
"冠岩Crown Rock",08:30-16:00,4.3,1.75,18.9,桂林
"凌云茶山金字塔Tea Mountain Pyramid, Lingyun",8:00-17:00,4,1,9,百色
"凌霄岩Lingxiao Cave",8:30-17:00,4,1.5,42.8,阳江
"凤凰山景区恬庄古街Tianzhuang Ancient Street",8:30-16:30,4.4,2.5,18,苏州
"凤凰山革命旧址The Fenghuangshan Revolution Site",9:00-17:00,4.6,1,0,延安
"凤凰谷景区Phoenix Valley Scenic Area",8:00-17:30,4.3,3.5,35,南宁
"凤山万寿谷",8:30-17:30,3,2.5,188,河池
"函谷关历史文化旅游区Hangu Pass Historical and Cultural Tourism Zone",08:00-19:00,4.3,12,70,三门峡
"剑山The Sword Mountain",8:00-17:00,4.6,2.5,5,南通
"北京凤凰岭景区Fenghuangling Natural Scenic Area",07:00-17:00,4.6,6,25,北京
"北武当山North Wudang Mountain",6:00-18:00,4.4,4,0.5,吕梁
"十里蓝山Ten Miles Blue Mountain",08:30-21:30,4,2.5,64.5,漳州
"千丈幽谷Qianzhang Canyon",8:00-17:00,4.2,1.5,55,绍兴
"千佛山风景名胜区Qianfo Mountain Scenic Resorts",6:30-18:30,4.2,12,0,济南
"千佛崖Qianfo (Thousand Buddha) Cliff",9:00-17:30,4.5,3.5,49.5,广元
"千层峰Qiancengfeng National Geology Park",09:00-17:00,4.1,1.5,16,肇庆
"千山Qianshan (Qian Mountains) National Park",06:00-18:00,4.7,12,59.9,鞍山
"千山摩力香格里拉度假营地Qianshan Moli Shangri-La Campsite",09:00-22:00,4,12,28,鞍山
"千年瑶寨Millennium Yaozhai",09:00-17:30,4.7,108,100,清远
"千龟山Qianguishan",9:00-17:30,4.4,3.5,2,丽江
"半屏山Mount Banping",8:00-17:00,4.4,2.5,15,温州
"华山Mount Hua",08:00-16:00,4.7,108,160,渭南
"华山西峰索道Huashan West Trail Road",08:00-18:00,4.7,0.4,498,渭南
"华蓥山Huaying Mountain",08:00-17:00,4.4,12,80,广安
"卓克基土司官寨文化旅游景区Zhuo Ke Ji Tusi Official Manor Cultural and Tourist Scenic Area",8:30-17:30,4.4,2,55,阿坝
"南丹山森林王国Nandanshan Discovery Park",8:30-17:30,4.8,5,95,佛山
"南京中山植物园Nanjing Zhongshan Botanical Garden",8:30-17:00,4.5,2.5,14,南京
"南华山神凤文化景区Nanhuashanshenfengwenhua Sceneic Area",7:30-17:00,4.3,2.5,59,湘西
"南宫山国家森林公园Nangongshan National Forest Park",08:00-15:00,4.4,72,45,安康
"南山一棵树观景台Nanshan Tree Viewing Platform",9:00-22:30,4.4,1.5,27,重庆
"南山植物园Nanshan Botanical Garden",9:30-17:00,4.4,4,29,重庆
"南山海上观音Guanyin Goddess at Nanshan",8:00-17:30,4.8,1.5,122,三亚
"南山湖风景名胜区Nanshanhu Places of Interest",7:30-18:00,3.9,3.5,1,绍兴
"南岩",7:00-17:00,4.7,1.5,243,十堰
"南岭国家森林公园Nanling National Forest Park",8:00-18:00,4.6,72,9,韶关
"南明山景区Nanming Mountain",07:00-18:30,4.6,12,7,丽水
"南溪山景区Nanxi Mountain Scenic Area",7:30-18:00,4.3,1.5,0.5,桂林
"南阳五朵山Nanyang Wuduo (Five) Mountain Scenic Area",8:00-18:00,4.1,4,9,南阳
"博山开元溶洞Kaiyuan Karst Cave in Boshan",8:00-17:00,4.4,2.5,139,淄博
"卢崖瀑布风景区Luya Waterfall",8:30-18:00,4,1,45,郑州
"卦山Hexagrams Mountain",8:00-17:30,4.3,2.5,9,吕梁
"卧虎山景区Wohu Mountain Sceneic Area",8:30-17:30,1,12,65,黑河
"印象林花生态谷Impression Linhua Ecological Valley",9:00-16:30,4.5,2.5,60,咸宁
"双乳峰景区Mount Shuangru (Mt. Bosom) Scenic Area",08:30-17:30,4.3,2.5,50,黔西南
"双塔山Dual Pagoda Mountain",7:30-18:00,4.6,2.5,0.5,承德
"古城岩Guchengyan",8:30-16:00,4.4,2.5,7,黄山
"合掌峰Hezhang Peak",07:00-22:00,4.7,2,40,温州
"吊罗山Diaoluo Mountain",8:00-18:00,4,2,70,陵水
"吊罗山国家森林公园Diaoluo Mountain National Forest Park",8:00-18:00,4.2,12,35,陵水
"吐峪沟Tuyugou",10:00-20:30,4.2,12,30,吐鲁番
"吐峪沟大峡谷Tuyugou Grand Canyon",8:00-20:00,4.5,2.5,50,吐鲁番
"吐鲁克岩画Tuluke Rock Paintings",8:30-19:30,3.9,0.75,160,阿勒泰
"吐鲁番火焰山大景区Turpan Flame Mountain Scenic Area",9:00-20:30,4.1,2.5,38,吐鲁番
"吼山Hou Mountain",8:00-17:00,4.7,2,40,绍兴
"周公山Zhougong Mountain",09:00-18:30,4,72,45,邢台
"喇嘛岭寺",08:00-19:00,5,1.5,30,林芝
"嘉峪关文物景区",8:30-18:00,4.4,1.5,120,嘉峪关
"嘉峪关观复丝路博物馆Jiayuguanguan Fusilu Museum",9:00-12:00,4,1.5,0,嘉峪关
"四姑娘山长坪沟景区Changping Valley",8:00-15:00,4.5,0.75,370,阿坝
"四明山国家森林公园Simingshan National Forest Park",08:30-17:00,3.7,5,44,宁波
"团山村Tuanshan Village",8:00-18:00,4.3,2.5,33,红河
"圣堂山Shengtang Mountain",8:00-16:00,4.4,6,59,来宾
"圣经山风景区Shengjingshan Sceneic Area",8:00-16:00,4.5,3,38,威海
"地下大峡谷Underground Great Canyon",08:00-16:00,4.3,3,84,临沂
"坛子岭Tanziling Scenic Area",8:00-17:00,4.4,1,188,宜昌
"基诺山寨Keno cottage",09:00-16:20,4.2,2.5,131,西双版纳
"塔云山",06:00-21:00,4.3,4,80,商洛
"塔山旅游风景区Tashan Tourism Scenic Area",8:30-17:00,4,72,29.9,烟台
"多河文化谷旅游区Duohe Culture Valley Tourist Area",8:00-17:00,4.2,12,24.6,琼海
"大乳山滨海旅游度假区Darushan Coastal Tourist and Holiday Resort",8:00-17:00,4.1,72,100,威海
"大兴安岭五·六火灾纪念馆Da Hinggan Ling Five Six Fire Memorial Hall",8:00-17:00,4.7,1,2,大兴安岭
"大兴安岭资源馆Daxing'anling Natural Resource Exhibition",8:30-17:00,4.5,2.5,0,大兴安岭
"大别山主峰景区白马尖Baimajian in the Main Scenic Area of Dabie Mountain",7:00-17:00,4.2,4.5,80,六安
"大同火山群国家地质公园Datong Volcanic Group",8:30-18:00,4.4,2.5,7,大同
"大基山Daji Mountain",8:00-17:00,4.6,5,5,烟台
"大奇山国家森林公园Daqishan National Forest Park",08:30-16:30,4.5,3,45,杭州
"大好河山Dajingmen",08:00-18:00,4.4,3,10,张家口
"大容山森林公园Darong Mountain Forest Park",8:00-17:00,4.2,108,58,玉林
"大山包Dashanbao",7:00-19:00,4.3,3.5,0,昭通
"大峡谷",8:00-17:00,4,1,180,兴安盟
"大嵛山岛Dayushan Island",8:00-17:00,4.3,108,70,宁德
"大悲山灵音禅寺",8:00-18:00,3,1.5,10,舟山
"大木山茶园景区Damu Mountain Tea Garden scenic spot",8:30-17:00,4.5,12,0,丽水
"大洪山风景名胜区Dahong Mountain Scenic Spot",08:30-16:30,4.4,12,70,随州
"大熊山国家森林公园Daxiong Mountain National Forest Park",8:00-17:00,4.4,12,62,娄底
"大理苍山石门关景区Shimenguan",8:30-17:30,4.6,12,20,大理
"大觉山索道Dajue Mountain Cableway",8:00-17:00,4.6,1.25,60,抚州
"大鄣山卧龙谷Dazhang Mountain Wolong Valley",07:30-17:00,4.5,3.5,55,上饶
"大阳山国家森林公园Dayangshan National Forest Park",9:00-16:30,4.4,4,45,苏州
"大雁山Dayan Mountain",7:00-22:00,4.4,1,8,江门
"大青山野生动物世界Daqing Shan Yesheng Dongwu World",8:30-17:00,4.2,2.5,86,马鞍山
"大青山风景区Daqingshan Tourist Site",7:00-18:00,4.4,12,34.8,日照
"大鸿寨风景区Dahong Village Scenic Resort",08:00-17:00,4.3,3.5,49,许昌
"大黑山国家森林公园Daheishan Forest Park",8:00-17:00,4.3,2.5,0,朝阳
"天华山Tianhuashan",07:00-17:00,4.6,72,50,丹东
"天台山大瀑布Tiantai Mountain Waterfall",08:00-17:00,4.4,2,100,台州
"天坪山云林天乡Yunlin Tianxiang, Tianping Mountain",9:00-18:00,4.3,12,38,重庆
"天堂寨风景区Tiantangzhai (“Heaven Village”) Scenic Area",08:00-16:30,4.3,12,68,黄冈
"天子山Tianzi Mountain",7:00-18:00,4.6,3.5,226,张家界
"天山野生动物园Tianshan Mountain Wildlife Park",10:00-17:00,3.8,2.5,9,乌鲁木齐
"天山风景名胜区Tianshan Scenery Attractions",8:00-17:00,4.5,1,10,哈密
"天平山Tianpingshan",08:00-17:00,4.6,12,30,苏州
"天柱山Tianzhu Mountain",7:00-17:30,4.7,108,130,安庆
"天桥山·银河洞风景区Yinhedong Sceneic Area",8:00-17:00,4.3,3.5,49.9,石家庄
"天梯山景区Tianti Mountain Scenic Area",8:00-17:00,4.3,3,26.9,邢台
"天梯山石窟Tianti Mountain Grottos",8:30-17:30,4.2,1.05,30,武威
"天河山Tianhe Mountain",7:00-18:00,4.5,12,65,邢台
"天竺山国家森林公园",8:00-18:00,5,4,80,商洛
"天脊山自然风景区Tianji Mountain Scenic Area",8:00-18:00,4.4,72,48,长治
"天谷·天然地下画廊Tiangu·Natural Underground Gallery",8:00-17:00,4.5,1.75,35,临沂
"天门山玻璃栈道Tianmen Mountain Glass Walkway",07:30-18:00,4.5,1.5,278,张家界
"天门山索道Tianmen Mountain Cableway",8:00-17:30,4.6,0.5,278,张家界
"天门山通天大道Tianmen Mountain Heaven-Linking Avenue",8:00-18:00,4.7,2,48,张家界
"天际岭国家森林公园",7:00-18:00,3.7,2,20,长沙
"天马山生态旅游区Tianma Mountain Ecotourism Resort",8:00-17:00,4.3,5,54,茂名
"天龙顶国家山地公园Tianlongding Mountain Park",9:00-17:00,4.3,12,40,梧州
"太蓬山Tai Peng Mountain",08:00-18:00,4.7,1,100,南充
"太行大峡谷景区Taihang Grand Canyon Scenic Area",8:00-17:30,4.7,108,95,安阳
"太行山大峡谷Taihang Grand Canyon",08:00-16:00,4.6,108,170,长治
"夹山国家森林公园Jiashan National Forest Park",8:00-17:30,4.3,4.5,55,常德
"夹金山Jiajin Mountain",9:00-18:00,4.4,3,58,雅安
"好运谷Haoyungu",7:00-17:00,3.8,2.5,60,平顶山
"妖魔山",8:00-19:00,4.2,5,0,乌鲁木齐
"妙道山Miaodao Mountain",8:00-17:00,4.5,72,6,安庆
"姑婆山Gupo Mountain",08:00-17:00,4.6,12,60,贺州
"威虎山森林公园Weihu Mountain Forest Park",8:00-16:00,3.5,4,29.9,哈尔滨
"娄山关Loushan Pass",9:00-17:00,4.4,3,18,遵义
"孙中山故居纪念馆Sun Yat-Sen Memorial Hall",09:00-17:30,4.6,2.5,0.5,中山
"孟门山Mengmen Mountain",06:30-22:30,4.7,1,60,延安
"宁津德百杂技蟋蟀谷",09:00-18:00,3.6,12,30,德州
"安哈彝寨仙人洞Anha Yizhai Fairy Cave",09:00-17:00,4.3,1.5,40,凉山
"安期峰景区Anqifeng Sceneic Area",8:00-16:30,4.3,1.5,42,舟山
"安福武功山Anfu Wugong Mountain",08:00-17:30,4.4,108,90,吉安
"宝峰湖景区Baofeng Lake Scenic Area",8:00-17:00,4.2,3.5,82.5,张家界
"宝界山林公园",9:00-17:00,4,4,0,无锡
"宝锭山风景区Ingot Mountain Scenic Area",8:00-18:30,4.1,4,25,肇庆
"寒山寺Hanshan Temple",08:00-16:30,4.5,1.5,17.1,苏州
"寺山国家森林公园Sishan National Forest Park",6:30-18:00,4,1.5,50,南阳
"寻龙山景区Xunlong Mountain Scenic Area",8:00-18:00,4.5,72,60,绵阳
"小孤山Mount Xiaogu",08:00-17:00,4.1,2,7,安庆
"小长山岛Xiaochangshan Island",8:00-17:00,4.4,72,2,大连
"小鱼山公园Xiaoyushan Park",7:30-18:30,4.7,1.5,9,青岛
"少室山景区The Shaoshi Mountain Scenic Area",8:00-17:00,4.8,72,100,郑州
"尖峰岭国家森林公园Jianfeng (Sharp Peak) Ridge National Forest Park",7:00-0:00,4.4,108,5,乐东
"尧山Yao Mountain",8:00-18:00,4.3,2.5,28,桂林
"尼山圣境景区Nishan Sacredland",09:30-17:00,4.5,12,79.9,济宁
"屏山峡谷Pingshan Grand Canyon",08:30-15:30,4.2,12,199,恩施
"屏山村Pingshancun",7:30-17:30,4.5,1.5,42.5,黄山
"山东安丘青云山民俗游乐园Qingyun Mountain Folk-custom Amusement Park",7:30-18:00,4.4,4.5,1,潍坊
"山东文旅·红叶柿岩旅游区Lushang - Hongye Shiye Scenic Spot",08:30-18:00,4.2,12,28,淄博
"山东百枣枣文化博物馆Shan Dongbaizaozao Culture Museum",9:00-11:00,4.5,2.5,0,德州
"山东省天宇自然博物馆Shandong Tianyu Museum of Natural History",8:00-17:30,4.6,1.5,80,临沂
"山地旅游体验馆",09:00-17:00,5,2,68,黔西南
"山塘街Shantang Street",8:00-21:00,4.5,3,48,苏州
"山水园Shanshui Gardens",08:00-16:30,4.6,3.5,19.4,桂林
"山江苗寨Shanjiang Miao Village",09:00-17:30,3.7,2,148,湘西
"山海关王家大院Wang Courtyard",07:30-18:00,4.5,2.5,120,秦皇岛
"山海洞Sanhaidong",09:00-18:00,4.8,2.5,90,昭通
"山西王家大院Wang Family Courtyard",08:30-17:20,4.7,2.5,55,晋中
"山陕会馆Sheqi Shanxi and Shaanxi Hall",8:00-18:00,4.4,2.5,6,南阳
"山陕甘会馆Shanxi, Shaanxi and Gansu Province Hall",8:00-18:30,4.3,1,7,开封
"岐山周公庙景区Zhou Gong Temple",8:00-18:00,4.4,2.5,64,宝鸡
"岚山景区",09:00-18:30,5,12,20,安顺
"岜沙苗寨Basha Miao Nationality Village",8:00-18:00,4.2,3,100,黔东南
"岩泉风景区Yanquan Scenic Area (Northeast Gate)",7:00-17:00,4.5,72,10,昆明
"岭祖大峡谷Lingzu Grand Canyon",8:30-17:00,5,12,38.7,来宾
"岱山湖Daishan Lake",8:00-17:30,4.2,2.5,35,合肥
"岳麓山Yuelu Mountain",07:00-22:00,4.6,12,178,长沙
"峄山Yi Mountain",8:00-17:30,4.5,5,27,济宁
"峨眉山Emei Mountain",06:00-17:00,4.6,144,370,乐山
"峨眉山博物馆Emeishan Museum",9:00-17:00,4.5,0.75,0,乐山
"峰林晓镇Jiulong Town",8:30-18:00,4.1,12,60,清远
"崂山太清宫Laoshan Taiqing Palace",6:00-18:00,4.4,2.5,27,青岛
"崆山白云洞White Cloud Cave of Mount Kong",08:00-17:30,4.5,2.5,110,邢台
"崆峒岩风景区Kongtongyan Scenic Area",09:00-17:00,4.1,2.5,21,阳江
"嵩山风景名胜区Songshan Scenic Area",08:00-17:00,4.5,108,80,郑州
"巍宝山Weibao Mountain",08:00-17:00,4.6,3.5,38.8,大理
"巨石山Jushi Mountain",09:00-17:00,4.4,12,66,安庆
"巨蟒出山Python Mountains",07:00-17:30,4.7,1.25,188,上饶
"巫山小三峡Wushan Little Three Gorges",08:00-18:00,4.4,4,113,重庆
"巴勒瑶族高山玻璃栈道Bale Yao Nationality Mountain Glass Path",8:00-17:00,3.7,1.5,77.5,来宾
"巴山云顶旅游度假区",08:00-16:00,4,180,180,达州
"巴山奇石馆",9:00-17:00,3,0.75,0,达州
"巴马百鸟岩Bama Birds Rock",8:30-17:30,4.5,0.75,75,河池
"帽儿山Maoer Mountain",07:30-17:00,4.3,72,40,哈尔滨
"帽子峰旅游景区Maozi Peak Forest Farm",08:30-17:00,4,1,25,韶关
"帽峰山景区Maofeng Mountain",8:00-17:00,4.4,12,188,广州
"平山湖大峡谷Pingshan Lake Grand Canyon",07:30-21:00,4.6,2.5,118,张掖
"平顶山山顶公园Pingdingshan Peak Park",7:00-20:00,4.6,2.5,50,平顶山
"广东第一峰Shaoguan Guangdong First Peak",7:30-16:30,4,72,44.86,清远
"广东罗浮山风景名胜区Luofu Mountain",07:00-18:00,4.4,108,54,惠州
"广西龙虎山风景区Longhushan Nature Reserve",8:30-17:30,4.4,3.5,55,南宁
"庐山东林大峡谷Lushan Donglin Canyon",7:30-17:30,4.5,1.5,35,九江
"庐山天桥Lushan Overpass",8:00-17:30,4.4,0.4,1,九江
"庐山西海主景区（原柘林湖司马码头）Zhelin Lake Scenic Area",08:00-17:30,4.3,180,135,九江
"建水团山村",8:00-18:00,4,2.5,50,红河
"张家界大峡谷Zhangjiajie Grand Canyon",08:30-16:30,4.5,3.5,128,张家界
"张家界大峡谷景区（玻璃桥）Zhangjiajie Grand Canyon Glass Bridge",08:30-15:30,4.5,1.5,128,张家界
"张果老山Zhang Guolao Mountain",6:00-18:00,4.2,2,25,邢台
"彭祖山景区PengZuShan Scenic Area",09:00-18:00,4.6,2.5,30,眉山
"徐凫岩步云谷旅游度假区Xufuyan",8:30-16:00,4.1,2,72,宁波
"御笔峰Yubi Peak",7:00-18:00,4.7,0.4,0,张家界
"微山岛景区Weishan Island Scenic Area",8:00-18:00,3.8,12,6,济宁
"微山湖旅游区Weishan Lake",09:00-17:00,3.9,108,6,济宁
"恩施地心谷景区Enshi Dixin Valley Scenic Spot",08:00-15:00,4.4,3.5,105,恩施
"慕士塔格峰-喀拉库勒湖景区Karakul Lake",10:00-20:00,4.7,2.5,44,克孜勒苏柯尔克孜
"抱犊寨Baoduzhai",8:30-17:30,4.4,3.5,39,石家庄
"捺山地质公园Nashan Geological Park",8:00-17:00,4.4,2.5,66,扬州
"摩天岭Motianling",7:30-17:30,3.9,2,60,威海
"摩天岭Motianling Mountain",7:30-18:00,4,72,1,兴安盟
"敬亭山Jingting Mountain",8:00-17:30,4.4,3.5,30,宣城
"文公山Wengong Mountain",07:30-17:00,4.1,2.5,55,上饶
"文峰塔Wenfeng Tower",6:00-18:00,4.5,1.5,24.5,安阳
"文峰寺Wenfeng Temple",08:30-18:00,4.8,3.5,5,丽江
"文笔峰Wenbi Peak",08:00-18:00,4.6,2.5,35,定安
"文笔峰道家文化苑",8:00-18:00,3,3,35,定安
"斗篷山景区Doupeng Hill",09:00-16:00,4.4,3,40,黔南
"新丰江国家森林公园桂山风景区Guishan",8:00-17:00,4.2,72,46,河源
