名字,开放时间,评分,建议游玩时间,门票,来源城市
"鳞隐石林Fujian Linyin Stone Forest",8:00-17:00,4.2,1,44,三明
"天鹅洞群Swan Cave Group",8:00-17:00,4.6,1,65,三明
"水上一线天Yixiantian over the Water",8:00-18:00,4,72,1.8,三明
"客家祖地Kejia Zudi",8:30-16:30,4.4,2,36,三明
"函谷关历史文化旅游区Hangu Pass Historical and Cultural Tourism Zone",08:00-19:00,4.3,12,70,三门峡
"双龙湾景区Shuanglong Scenic Bay",8:00-18:00,4.2,4,65,三门峡
"虢国博物馆Guo State Museum",09:00-17:30,4.4,2.5,50,三门峡
"灵宝娘娘山景区Lingbao Niangniang Mountain",7:00-19:00,4.4,3.5,35,三门峡
"仰韶大峡谷The Grand Canyon of Yangshao",8:00-18:00,4.1,3.5,68,三门峡
"甘山国家森林公园Ganshan Forest Park",09:00-16:00,4.5,3.5,9,三门峡
"空相寺Kongxiang Temple",09:00-17:00,5,1.5,30,三门峡
"顾村公园Gucun Park",06:00-18:00,4.6,3.5,49,上海
"横沙岛Hengsha Island",7:00-22:00,4.5,72,99,上海
"静安寺Jing'an Temple",7:30-17:00,4.6,1.5,5,上海
"豫园星空梦幻馆Yuyuan Fantasy Starry Pavilion",10:00-22:00,3.8,2,65,上海
"大宁灵石公园Daning Park",05:00-22:00,4.6,2.5,7,上海
"上海共青森林公园Gongqing National Forest Park",05:00-19:30,4.7,4.5,258,上海
"复旦大学Fudan University",09:00-16:00,4.8,2.5,0,上海
"世纪公园Century Park",05:00-21:00,4.8,4,80,上海
"上海植物园Shanghai Botanical Garden",8:30-17:00,4.5,3,18,上海
"太阳岛旅游度假区Sun Island",9:00-17:00,4.5,12,30,上海
"上海星空艺术馆Shanghaixingkong Art Museum",10:00-22:00,4.1,1.5,49.9,上海
"上海薰衣草公园Momchilovtsi Herb Garden",9:00-17:00,4.7,2.5,98,上海
"周公馆Former Residence of Zhou Enlai in Shanghai",09:07-16:33,4.7,1.5,78,上海
"上海长风海洋世界Changfeng Ocean World",10:00-18:00,4.3,3,170,上海
"望仙谷",08:00-20:00,4.1,12,98.5,上饶
"婺源风景区Wuyuan Scenic Area",7:30-18:30,4.5,144,12,上饶
"李坑景区Li Valley",07:30-19:30,4,2.5,55,上饶
"江岭景区Jiangling",07:30-17:00,4.5,4,80,上饶
"晒秋人家",7:30-17:00,5,0.75,1,上饶
"龟峰风景名胜区Guifeng Scenic Area",06:30-16:00,4.6,4,149.5,上饶
"葛仙村度假区Ge's Fairy Village",8:00-17:00,4.8,108,90,上饶
"江湾景区Jiangwan Scenic Spot",07:30-18:30,3.8,3,60,上饶
"大鄣山卧龙谷Dazhang Mountain Wolong Valley",07:30-17:00,4.5,3.5,55,上饶
"灵岩洞国家森林公园Lingyan Cave National Forest Park",07:30-17:00,4.2,1.5,55,上饶
"彩虹桥Rainbow Bridge",08:00-17:30,4.3,1,55,上饶
"思溪延村Sixiyan Village",07:30-18:30,4.1,2.5,55,上饶
"上下晓起Shang Xia Xiaoqi Village",7:30-18:30,3.9,2,60,上饶
"鸳鸯湖Yuanyang Lake",8:00-17:00,4.2,2,12,上饶
"汪口Wangkou Village",07:30-17:00,4.1,1.5,55,上饶
"洪村Hong Village",7:00-19:00,3.9,4,5,上饶
"鄣山村",0:00-24:00,5,3,0,上饶
"百柱宗祠Baizhu Ancestral Hall",7:00-17:30,3.9,1,210,上饶
"文公山Wengong Mountain",07:30-17:00,4.1,2.5,55,上饶
"阳光海岸景区The Sunshine Coast Scenic Area",8:00-17:00,4.5,3.5,288,上饶
"巨蟒出山Python Mountains",07:00-17:30,4.7,1.25,188,上饶
"西海岸景区West Coast Scenic Area",8:00-17:00,4.7,3,288,上饶
"玉京峰景区Yujingfeng Sceneic Area",08:00-17:00,4.6,3,409,上饶
"东方女神Oriental Goddess",8:00-17:00,4.8,1,2,上饶
"三清山梯云岭",7:00-20:00,5,1.5,2,上饶
"清风仙境Qingfeng Fairyland",8:00-17:30,4.3,3.5,7,上饶
"婺源严田Wuyuan Yantian",07:30-17:00,4,2,60,上饶
"鸦片战争博物馆Opium War Museum",08:30-17:30,4.6,2.5,5,东莞
"袁崇焕纪念园Yuan Chonghuan Memorial Park",08:00-17:30,4.4,2.5,7,东莞
"南社明清古村落Nanshe Ming and Qing Ancient Village",9:00-18:00,4.2,2.5,26,东莞
"清风湖公园Qingfenghu Park",7:00-22:00,4.6,1,6,东营
"黄河口生态旅游区Yellow River Estuary Ecotourism Area",8:30-17:00,4.1,72,0.6,东营
"东营孙武祠Sunwuci",8:00-18:00,4.6,1,6,东营
"东营历史博物馆Dongying City History Museum",08:00-11:30,4.6,1,6,东营
"白鹭园湿地公园",08:00-18:00,5,2.5,9,东营
"腾格里?金沙海Tengger Golden Sand Sea",08:00-18:00,4.5,12,30,中卫
"保安寺",8:00-18:00,4,1,20,中卫
"石空寺石窟",8:00-20:00,4.3,1,20,中卫
"寺口子Sikouzi",09:00-16:30,4.5,3,74.6,中卫
"腾格里沙漠湿地",8:30-17:30,4.6,1.5,60,中卫
"中宁县双龙山石窟文物陈列馆Zhongningxian Shuang Long Shan Shiku Wenwu Exhibition Hall",9:00-17:00,3,1.5,0,中卫
"沙坡头缆车Shapotou Cableway",8:00-18:00,4.8,1.25,25,中卫
"黄河滑索",8:00-17:30,4.7,1.25,100,中卫
"中山詹园Zhongshan Mansion Garden",8:30-17:30,4.5,2,50,中山
"中山影视城Zhongshan TV and Film City",08:30-19:30,4.2,3,60,中山
"五桂山Wuguishan",8:00-18:00,4.4,4.5,1,中山
"孙中山故居纪念馆Sun Yat-Sen Memorial Hall",09:00-17:30,4.6,2.5,0.5,中山
"紫马岭公园Zimaling Park",07:00-20:00,4.5,1.5,8,中山
"鹿鸣湖山庄",8:30-18:00,3,3,10,中山
"黄河壶口瀑布风景名胜区Hukou Waterfall",08:00-17:00,4.6,2.5,0.5,临汾
"尧庙Temple of Yao",8:00-18:00,4.2,1.5,32,临汾
"苏三监狱Susan Prison",8:00-18:30,3.9,2.5,32,临汾
"丁村民俗博物馆Ding Village Folk Museum",08:30-18:00,4.5,2.5,7,临汾
"云丘山旅游风景区",7:00-18:00,4.1,10,80,临汾
"赵城牡丹园",9:00-18:00,4,2.5,68,临汾
"晋国古都博物馆Houma Jinguo Gudu Museum",8:30-11:30,5,2.5,0,临汾
"云丘山玉皇顶索道Yunqiu Mountain Yuhuang Peak Ropeway",8:00-18:00,5,0.4,70,临汾
"竹泉村Bamboo Spring Village",08:00-17:00,4.3,4.5,90,临沂
"地下大峡谷Underground Great Canyon",08:00-16:00,4.3,3,84,临沂
"天谷·天然地下画廊Tiangu·Natural Underground Gallery",8:00-17:00,4.5,1.75,35,临沂
"天上王城景区Heavenly Kingdom Scenic Area",08:00-17:00,4.6,4,70,临沂
"临沂动植物园Linyi Zoo and Botanical Garden",8:30-18:00,4.5,1.5,38.8,临沂
"蒙阴地下银河",8:00-17:00,3.2,4,50,临沂
"省政府旧址Shengzhengfu Site",7:30-17:30,4.2,1.5,40,临沂
"天马岛旅游区Tianma Island Tourist Area",8:00-18:00,4.5,3.5,79,临沂
"临沂国际影视城Linyi International Movie City",8:30-16:00,3.8,3,7,临沂
"山东省天宇自然博物馆Shandong Tianyu Museum of Natural History",8:00-17:30,4.6,1.5,80,临沂
"临沂广播电视塔Linyi Radio and Television Tower",9:00-20:00,4.3,1.5,2,临沂
"沂蒙山旅游区龟蒙景区Guimeng Scenic Area, Yimeng Mountain",8:30-16:30,4.5,72,69,临沂
"沂蒙山根据地Yimeng Mountain Base",8:00-17:00,4.6,1.5,35,临沂
"郯国古城",09:00-17:00,2.7,12,55,临沂
"临沧市博物馆Lincangshi Museum",8:30-18:00,4.5,0.75,0,临沧
"鸭绿江断桥Yalu River Broken Bridge",10:00-17:00,4.7,1,298,丹东
"虎山长城Hushan Scenic Spot",7:30-18:00,4.6,3.5,55,丹东
"天华山Tianhuashan",07:00-17:00,4.6,72,50,丹东
"天桥沟森林公园Kuandian Tianqiaogou National Forest Park",08:00-16:00,4.6,72,9,丹东
"安东老街Anton Old Street",09:30-22:30,4.6,2.5,6,丹东
"仙都景区Xiandu Scenic Area",7:30-17:30,4.5,108,93.8,丽水
"云和梯田景区Yunhe Rice Terraces",8:00-17:00,4.8,108,40,丽水
"古堰画乡景区Guyan Huaxiang Scenic Area",08:00-17:30,4.5,12,45,丽水
"神龙谷Shenlong Valley",8:00-16:30,4.6,2.5,47,丽水
"中国青瓷小镇·披云青瓷文化园China Celadon Town · Phiyun Celadon Cultural Park",8:30-18:00,4.3,3,50,丽水
"石门洞Shimendong",7:30-17:00,4.5,5,50,丽水
"大木山茶园景区Damu Mountain Tea Garden scenic spot",8:30-17:00,4.5,12,0,丽水
"千峡湖生态旅游度假区Qianxia Lake Eco-tourism Resort",9:00-16:00,4.5,4.5,90,丽水
"南明山景区Nanming Mountain",07:00-18:30,4.6,12,7,丽水
"黄家大院Courtyard of Family Huang",8:30-17:00,4.4,1.5,7,丽水
"万象山公园Wanxiangshan Park",7:00-21:00,4.5,2.5,0,丽水
"龙泉山旅游区Songcheng Longquan Mountain Tourist Area",08:30-17:30,4.4,108,220,丽水
"东西岩景区East-West Rock Scenic Resort",7:30-17:00,4.4,3.5,40,丽水
"延庆寺塔Yanqing Temple (Southeast Gate)",08:00-17:30,4.3,1,5,丽水
"百山祖",8:00-17:00,4,2,80,丽水
"云中大漈Yunzhongdaji",8:30-17:30,4.3,12,20,丽水
"灵鹫寺石塔Lingjiu Temple Pagoda",8:00-18:00,4,2,0,丽水
"遂昌金矿国家矿山公园Suichang Gold Mine National Mine Park",8:00-16:30,4.3,3,116,丽水
"玉龙雪山Jade Dragon Snow Mountain",07:30-16:30,4.5,12,273,丽江
"蓝月谷Blue Moon Valley",08:00-16:00,4.6,3.5,226,丽江
"木府Mufu Palace",8:30-17:30,4.7,2,20,丽江
"玉龙雪山索道Yulong Snow Mountain Cableway",08:00-16:00,4.4,0.5,328,丽江
"虎跳峡（丽江段）Tiger Leaping Gorge",7:30-16:30,4.6,2.5,6518,丽江
"万古楼Wangu Pavilion",8:30-18:00,4.4,0.75,27.8,丽江
"云杉坪Yunshanping",7:00-18:00,4.4,2,88,丽江
"长江第一湾First bay of the Yangtze River",8:00-18:00,4.2,1.5,3499,丽江
"观音峡Guanyin Gorge",7:30-18:30,4.2,1.5,210,丽江
"杜鹃园",9:00-18:00,4,2,105,丽江
"雪山峡谷演艺公园Snow Mountain Canyon Park",8:00-17:30,4.8,1.5,800,丽江
"东巴谷Dongba Valley",08:30-22:00,4.2,3,800,丽江
"茶马古道安中马场Ancient Tea Route Anzhong Racecourse",8:00-17:00,3.1,1.25,0,丽江
"扎美寺Zhamei Temple",8:00-18:00,4.1,1.5,20,丽江
"吉意溶洞Guyi Cave",9:00-17:00,4.5,2,15,丽江
"文峰寺Wenfeng Temple",08:30-18:00,4.8,3.5,5,丽江
"千龟山Qianguishan",9:00-17:30,4.4,3.5,2,丽江
"普贤寺Puxian Temple",8:30-17:30,4.6,1.5,0,丽江
"方国瑜故居Fang Guoyu's Former Residence",9:00-17:00,4.6,1.5,50,丽江
"金沙江三谷水景区Jinsha River Three Valley Water Scenic Area",8:00-18:00,4.3,2.5,120,丽江
"辉腾锡勒草原Huitengxile Grassland",7:55-18:00,4.4,72,99,乌兰察布
"凉城岱海Daihai Sea",7:00-18:30,3.8,1.5,40,乌兰察布
"辉腾锡勒花海景区Huitengxile Flower Sea Scenic Area",8:30-17:00,3.7,72,50,乌兰察布
"林胡古塞Linghu Gusai",09:00-17:30,4.2,108,183,乌兰察布
"国际马术演艺小镇International Equestrian Show Town",8:30-20:00,3,12,280,乌兰察布
"新疆盐湖景区Guhya Salt Lake",10:00-22:00,4.3,3,19.9,乌鲁木齐
"乌鲁木齐植物园Urumqi Botanical Garden",8:00-22:00,4.6,1.5,21,乌鲁木齐
"妖魔山",8:00-19:00,4.2,5,0,乌鲁木齐
"天山野生动物园Tianshan Mountain Wildlife Park",10:00-17:00,3.8,2.5,9,乌鲁木齐
"尖峰岭国家森林公园Jianfeng (Sharp Peak) Ridge National Forest Park",7:00-0:00,4.4,108,5,乐东
"峨眉山Emei Mountain",06:00-17:00,4.6,144,370,乐山
"伏虎寺Fuhu Temple",8:00-16:00,4.7,1.5,160,乐山
"迎宾广场Yingbin Square",6:00-18:30,4.6,0.35,0,乐山
"峨眉山博物馆Emeishan Museum",9:00-17:00,4.5,0.75,0,乐山
"一线天Yixiantian",7:00-18:30,4.6,1.5,370,乐山
"仙峰寺Xianfeng Temple",7:00-18:00,4.8,0.75,160,乐山
"圣积晚钟Shengji Evening Bell",7:00-18:00,4.3,0.75,160,乐山
"犍为文庙Qianwei Confucius Temple",9:00-18:00,4.4,1.5,15,乐山
"沐川竹海Muchuan Zhuhai",9:00-17:00,4.5,3.5,39,乐山
"老霄顶Laoxiao Top",9:00-17:00,4.5,1.5,40,乐山
"世界茉莉博览园",09:00-18:00,3.6,6,39,乐山
"含鄱口Hanpokou",08:00-16:00,4.5,1.5,50,九江
"东林寺Donglin Temple",07:30-18:00,4.7,1.5,1,九江
"石门涧Shimen Mountain Stream",7:00-18:00,4.4,2.5,42.5,九江
"庐山天桥Lushan Overpass",8:00-17:30,4.4,0.4,1,九江
"烟水亭Yanshui Pavilion",09:00-17:00,4.2,1,20,九江
"浔阳楼Xunyang Tower",09:00-17:30,4.1,1,20,九江
"庐山西海主景区（原柘林湖司马码头）Zhelin Lake Scenic Area",08:00-17:30,4.3,180,135,九江
"白鹿洞书院White Deer Grotto Academy",07:30-18:00,4.6,1.5,35,九江
"碧龙潭Bilong Pool",7:00-17:00,4.4,1.5,19,九江
"锁江楼River-locking Tower Pagoda",09:00-17:30,4.2,1.5,20,九江
"庐山东林大峡谷Lushan Donglin Canyon",7:30-17:30,4.5,1.5,35,九江
"花径公园",6:00-20:00,4,1,1,九江
"观音桥Guanyin Bridge",8:00-17:00,4.5,3.5,40,九江
"龙宫洞",8:00-17:00,3,2,80,九江
"石钟山Shizhong Mount (Stone Bell Mountain)",08:00-17:30,4.4,1.5,64.2,九江
"秀峰Xiufeng Peak",8:00-16:30,4.6,3,52,九江
"蟠龙洞Panlong (Dragon) Cave",8:30-17:30,4.2,1,30,云浮
"云浮爱情博物馆",10:00-22:30,4.3,2,50,云浮
"五指山热带雨林风景区Wuzhishan Tropical Rainforest",9:00-16:00,4.3,2.5,33,五指山
"花戏楼Huaxi Hall",8:00-17:30,4.5,1.5,45,亳州
"南京巷钱庄Nanjing Alley Qianzhuang",8:30-17:30,4.3,3,25.5,亳州
"道德中宫Lao Tzu Memorial Hall",08:00-18:00,4.2,1.5,20,亳州
"江宁会馆Jiangning Association",8:00-18:00,4.3,1.5,14,亳州
"曹操运兵道Cao Cao Military Transport Tunnel",8:00-17:30,4.6,4,45,亳州
"魏武祠Weiwu Temple",8:00-17:30,4.2,1.5,27,亳州
"花之谷运动探险乐园",09:00-17:30,3.5,2.5,38,亳州
"华佗百草园Huatuo Baicao Garden",8:30-17:30,4.2,1.5,10,亳州
"百万花海风景区Baiwanhuahai Sceneic Area",8:00-18:00,4,2.25,40,仙桃
"嘉荫恐龙国家地质公园Heilongjiang Jiayin Dinosaur National Geology Park",8:30-16:30,4.3,2.5,80,伊春
"茅兰沟国家森林公园Maolangou National Park",06:00-18:00,4.4,72,65,伊春
"上甘岭溪水国家森林公园Xishui National Forest Park",07:30-17:00,4.5,72,40,伊春
"兴安森林公园Xing'an Forest Park",7:00-18:00,4.3,12,10,伊春
"喀赞其民俗村Kazanqi Folk-custom Village",10:00-19:30,4.5,1.5,278,伊犁
"惠远古城Huiyuan Ancient City",10:00-19:30,4,4.5,10,伊犁
"夏塔旅游区Xiata Tourist Area",9:30-18:00,4.3,4,60,伊犁
"喀拉峻草原Kalajun Grassland",08:00-20:00,4.5,108,10,伊犁
"库尔德宁景区Ku'erdening Nature Reserve",9:30-20:00,4,4.5,6,伊犁
"雪岭云杉自然保护区",9:00-17:00,5,2,30,伊犁
"恰西森林公园Qiaxi Forest Park",10:00-18:00,4.7,12,30,伊犁
"帝锚·热岛乐园",11:30-20:30,3.4,12,198,伊犁
"佛山祖庙Foshan Ancestral Temple",8:30-18:00,4.6,2.5,6,佛山
"逢简水乡Fengjian Water Town",8:00-17:00,4.3,3.5,1,佛山
"西樵山风景名胜区Xiqiao Mountain Scenic Area",07:30-17:30,4.4,12,52.3,佛山
"清晖园Qinghui Garden",8:30-17:00,4.5,2.5,299,佛山
"梁园Liang Yuan",09:00-17:00,4.4,1.5,0.3,佛山
"顺峰山公园Shunfeng Mountain Park",06:00-22:30,4.6,2.5,7,佛山
"南丹山森林王国Nandanshan Discovery Park",8:30-17:30,4.8,5,95,佛山
"南海影视城The CCTV Nanhai Movie and TV Town",08:30-18:00,4.3,5.5,86,佛山
"南风古灶Nanfeng Kiln",8:30-17:00,4.4,3,20,佛山
"南国桃园Nanguo Peach Garden",08:00-12:00,4.5,72,8,佛山
"荷花奇境(三水荷花世界)Lotus Flower Wonderland (Sanshui Lotus World)",9:00-6:00,3.7,4,58,佛山
"宝林寺Baolin Temple",08:00-19:00,4.6,2.5,7,佛山
"芦苞祖庙Xujiang Ancestral House",7:30-17:30,4.8,1.5,7,佛山
"佳木斯市水源山公园Shuiyuanshan Park (North Gate)",6:00-18:00,4.5,26.4,0,佳木斯
"黑瞎子岛Heixiazi Island",08:00-18:00,4.6,3,2,佳木斯
"佳木斯失恋博物馆Jiamusi Shilian Museum",9:00-20:00,3.8,2,29,佳木斯
"槟榔谷Binlang Ethnic Village",08:30-18:00,4.4,3.5,94,保亭
"保亭常青茶溪谷Baoting Evergreen Tea Valley",8:30-18:00,3.8,3.5,58,保亭
"神玉岛Shenyu Island",8:30-17:30,4.5,12,52,保亭
"呀诺达雨林文化旅游区Yanoda Rainforest Cultural Tourism Zone",08:30-18:00,4.6,108,168,保亭
"七仙岭温泉国家森林公园Qixianling (Seven Fairies Ridge) Hot Spring National Forest Park",7:00-17:00,4.5,72,35,保亭
"七仙岭温泉",08:00-22:30,5,6,30,保亭
"白石山世界地质公园Baishishan World Geopark",8:00-18:00,4.6,12,260,保定
"野三坡Ye Sanpo",07:30-16:30,4.7,144,50,保定
"百里峡Bailixia",07:30-17:00,4.6,4,50,保定
"古莲花池Ancient Lotus Flower Pond",8:00-17:30,4.5,1.5,0.3,保定
"直隶总督署Government Department",9:00-17:00,4.5,1.5,20,保定
"北岳庙Beiyue Temple",08:30-17:00,4.6,1.5,28.8,保定
"定州贡院Dingzhou Test Hall",08:00-17:00,4.5,1,7,保定
"鱼谷洞泉自然风景区Yugudong Natural Scenic Area",8:00-17:00,4.2,2,65,保定
"西胜沟Xishenggou Gorge",6:00-18:00,4.3,12,35,保定
"十瀑峡Shipu Canyon",7:00-18:00,4.2,3,42,保定
"天生桥风景区Tianshengqiao Scenic Area",8:00-16:00,4.5,72,64.3,保定
"白洋淀文化苑Baiyangdian Culture Yuan",07:00-16:30,3.7,2.5,10,保定
"满城汉墓Mancheng Han Tomb",8:30-17:00,4.3,2.5,0.5,保定
"易水湖景区Yishui Lake",08:00-17:00,4.5,2,80,保定
"龙门天关The Natural Pass of Longmen (North Gate)",8:00-17:00,3.8,2,55,保定
"灵山聚龙洞Lingshan Julong Cave",8:30-17:00,4.4,2.5,34.7,保定
"云蒙山皇家森林公园Yunmengshan Royal Forest Park",8:00-17:00,4.2,12,9,保定
"永福寺Yongfu Temple",8:00-17:00,4.3,1.5,11,保定
"腾冲热海风景区Tengchong Thermal Sea Scenic Area",09:00-18:00,4.6,3,50,保山
"火山地热国家地质公园Tengchong Volcanic Geothermal National Geological Park",8:00-18:00,4.2,108,35,保山
"北海湿地Beihai Wetlands",8:30-19:00,4.4,12,55,保山
"黑鱼河Heiyu River",8:00-19:00,4.1,1,35,保山
"来凤山",8:00-18:00,4.2,3.5,7,保山
"叠水河瀑布Dieshuihe Waterfall",8:00-17:00,4.4,2.5,9,保山
"樱花谷景区Yinghuagu Sceneic Area",8:00-18:30,4.2,4.5,60,保山
"云峰山Clouds Peak Mountain",8:00-18:00,4.4,2,158,保山
"腾冲原乡栖花岭景区Tengchong Yuan Xiang Qihualing Sceneic Area",9:30-18:30,4.5,2.5,28,保山
"银杏村Yinxing Village",8:20-19:00,4.2,2.5,30,保山
"艾思奇纪念馆Aisiqi Memorial Hall",8:00-20:00,4.4,1.5,55,保山
"寸氏宗祠Inch Ancestral Hall",7:00-18:00,4.4,0.75,55,保山
"怀胎井Pregnancy Well",8:30-17:30,4.5,1.5,0,保山
"清平洞Qingpingdong",6:00-19:00,4.7,3,0,保山
"华侨城·秘境森林乐园",10:00-18:00,4.8,12,50,保山
"西九华山风景区Xijiuhua Mountain Scenic Area",8:00-18:00,4,12,28,信阳
"东坡书院Dongpo Academy",8:30-17:30,4.4,1,23,儋州
"海南热带植物园Hainan Tropical Botanical Garden",8:00-16:30,4.2,2.5,25.9,儋州
"儋州蓝洋樱花乐园",08:00-18:00,4.2,2,35,儋州
"石花水洞Shihua Water Tunnel",09:00-17:00,4.5,1.5,60,儋州
"慕士塔格峰-喀拉库勒湖景区Karakul Lake",10:00-20:00,4.7,2.5,44,克孜勒苏柯尔克孜
"怪柳林景区Guailiulin Scenic Area",10:00-19:30,4.5,12,38,克孜勒苏柯尔克孜
"阿图什天门景区Atushi Tianmen Scenic Area",10:00-19:30,4.5,2.5,43,克孜勒苏柯尔克孜
"黑油山Heiyou Mountain",10:00-19:30,4.1,0.35,39,克拉玛依
"乌尔禾影视城",10:00-20:00,4.8,3.5,60,克拉玛依
"万佛湖风景区Wanfo Lake",08:00-17:00,4.3,21.6,93.5,六安
"皖西大裂谷West Anhui Great Rift Valley",08:00-17:00,4.4,12,56,六安
"大别山主峰景区白马尖Baimajian in the Main Scenic Area of Dabie Mountain",7:00-17:00,4.2,4.5,80,六安
"珍珠泉The Pearl Spring",8:00-18:00,4.2,1.5,198,六安
"佛子岭水库Foziling Reservoir",8:00-16:00,4.1,1.5,46,六安
"万佛山Mount Wanfo",08:00-17:30,4.5,72,60,六安
"燕子河大峡谷Swallow River Grand Crayon",7:00-18:00,4.5,12,45,六安
"铜锣寨Tongluozhai",07:00-17:00,4.6,12,38,六安
"八公山国家森林公园",7:00-18:00,2.5,4,40,六安
"盘州西冲玉带旅游度假区",09:00-18:00,3,108,39.9,六盘水
"梅花山旅游景区Meihua Mountain Tourism Sceneic Area",9:00-17:00,4.4,12,128,六盘水
"白塔山公园Baitashan Park",6:30-19:30,4.6,2.5,0.6,兰州
"吐鲁沟国家森林公园Tulugou National Forest Park",8:00-18:00,4.3,5,50,兰州
"黄河索道Huanghe Ropeway",09:00-18:00,4.5,1.5,45,兰州
"兰州城隍庙Lanzhou City God Temple",9:00-17:00,4.4,1.5,5,兰州
"兴隆山自然保护区Xinglongshan Natural Reserve",8:00-17:00,4.4,12,40,兰州
"五泉山公园Wuquanshan Park",8:00-20:00,4.6,2.5,9,兰州
"雁滩公园Yantan Park (North Gate)",08:00-21:00,4.5,1.5,7,兰州
"石佛沟国家森林公园Lanzhou Shifo Valley National Forest Park",8:00-18:00,4,3,5,兰州
"阿尔山国家森林公园Arxan National Forest Park",08:00-17:00,4.3,108,234.5,兴安盟
"驼峰岭天池Tuofengling Tianchi",7:00-18:00,4.6,1.5,3,兴安盟
"石塘林Sitanglin Geological Site",8:00-17:00,4.6,2.5,3,兴安盟
"龟背岩Tortoise Back Rock",8:00-17:00,4.2,1,180,兴安盟
"大峡谷",8:00-17:00,4,1,180,兴安盟
"地池",8:00-17:00,3.7,1,180,兴安盟
"摩天岭Motianling Mountain",7:30-18:00,4,72,1,兴安盟
"天骄天骏生态旅游度假区Tianjiao Tianjun Ecological Tourist Resort",08:30-19:00,4.5,2.5,100,兴安盟
"鹿园Deer Park",9:00-17:30,2.7,12,30,兴安盟
"圣水禅林Shengshui Temple",8:00-17:00,4.5,1.5,5,内江
"隆昌万花谷Longchang Wanhua Valley",08:30-18:00,4,2.5,20,内江
"川南大草原Southern Sichuan Prairie",08:30-17:30,3.8,180,40,内江
"邛海国家湿地公园Qionghai National Wetland Park",06:00-22:00,4.5,2,0,凉山
"泸山Lushan",9:00-18:00,4.4,2.5,65,凉山
"西昌卫星发射中心Xichang Satellite Launch Center",08:00-17:30,4.3,1.5,25,凉山
"螺髻山Luoji Mountain",8:30-17:30,4.5,3,87.5,凉山
"安哈彝寨仙人洞Anha Yizhai Fairy Cave",09:00-17:00,4.3,1.5,40,凉山
"灵山寺The Lingshan Temple",8:30-16:00,4.4,1,58,凉山
"八达岭长城Badaling Great Wall",07:30-16:00,4.7,3.5,35,北京
"古北水镇Gubei Water Town",09:00-23:00,4.7,108,140,北京
"天安门广场Tiananmen Square",5:00-22:00,4.8,1.5,103,北京
"圆明园Old Summer Palace",07:00-18:00,4.7,4.5,10,北京
"南锣鼓巷Nanluoguxiang",10:00-21:00,4.5,3,0.2,北京
"玉渊潭公园Yuyuantan Park",07:15-17:30,4.7,3,12.9,北京
"北京野生动物园Beijing Wildlife Park",09:00-17:00,4.7,5,145,北京
"北京后花园（白虎涧）风景区Back Garden (White Tiger Gully) Natural Scenic Area",8:00-17:00,4.1,4.5,39.9,北京
"黄花城水长城Huanghuacheng Underwater Great Wall",08:30-17:00,4.7,3.5,58,北京
