名字,开放时间,评分,建议游玩时间,门票,来源城市
"文峰寺Wenfeng Temple",08:30-18:00,4.8,3.5,5,丽江
"千龟山Qianguishan",9:00-17:30,4.4,3.5,2,丽江
"普贤寺Puxian Temple",8:30-17:30,4.6,1.5,0,丽江
"方国瑜故居Fang Guoyu's Former Residence",9:00-17:00,4.6,1.5,50,丽江
"金沙江三谷水景区Jinsha River Three Valley Water Scenic Area",8:00-18:00,4.3,2.5,120,丽江
"槟榔谷Binlang Ethnic Village",08:30-18:00,4.4,3.5,94,保亭
"保亭常青茶溪谷Baoting Evergreen Tea Valley",8:30-18:00,3.8,3.5,58,保亭
"神玉岛Shenyu Island",8:30-17:30,4.5,12,52,保亭
"呀诺达雨林文化旅游区Yanoda Rainforest Cultural Tourism Zone",08:30-18:00,4.6,108,168,保亭
"七仙岭温泉国家森林公园Qixianling (Seven Fairies Ridge) Hot Spring National Forest Park",7:00-17:00,4.5,72,35,保亭
"七仙岭温泉",08:00-22:30,5,6,30,保亭
"东坡书院Dongpo Academy",8:30-17:30,4.4,1,23,儋州
"海南热带植物园Hainan Tropical Botanical Garden",8:00-16:30,4.2,2.5,25.9,儋州
"儋州蓝洋樱花乐园",08:00-18:00,4.2,2,35,儋州
"石花水洞Shihua Water Tunnel",09:00-17:00,4.5,1.5,60,儋州
"邛海国家湿地公园Qionghai National Wetland Park",06:00-22:00,4.5,2,0,凉山
"泸山Lushan",9:00-18:00,4.4,2.5,65,凉山
"西昌卫星发射中心Xichang Satellite Launch Center",08:00-17:30,4.3,1.5,25,凉山
"螺髻山Luoji Mountain",8:30-17:30,4.5,3,87.5,凉山
"安哈彝寨仙人洞Anha Yizhai Fairy Cave",09:00-17:00,4.3,1.5,40,凉山
"灵山寺The Lingshan Temple",8:30-16:00,4.4,1,58,凉山
"八达岭长城Badaling Great Wall",07:30-16:00,4.7,3.5,35,北京
"古北水镇Gubei Water Town",09:00-23:00,4.7,108,140,北京
"天安门广场Tiananmen Square",5:00-22:00,4.8,1.5,103,北京
"圆明园Old Summer Palace",07:00-18:00,4.7,4.5,10,北京
"南锣鼓巷Nanluoguxiang",10:00-21:00,4.5,3,0.2,北京
"玉渊潭公园Yuyuantan Park",07:15-17:30,4.7,3,12.9,北京
"北京野生动物园Beijing Wildlife Park",09:00-17:00,4.7,5,145,北京
"北京后花园（白虎涧）风景区Back Garden (White Tiger Gully) Natural Scenic Area",8:00-17:00,4.1,4.5,39.9,北京
"黄花城水长城Huanghuacheng Underwater Great Wall",08:30-17:00,4.7,3.5,58,北京
"北京凤凰岭景区Fenghuangling Natural Scenic Area",07:00-17:00,4.6,6,25,北京
"石林峡ShilinGorge",08:00-17:00,4.5,4.5,68,北京
"白瀑寺Baipu Temple",08:00-17:00,4.5,2.5,1,北京
"明十三陵Ming Tombs",08:30-16:30,4.5,3.5,20,北京
"香山公园Fragrant Hills Park",6:00-18:30,4.7,3,5,北京
"大觉寺Dajue Temple",09:00-17:00,4.6,1,1.4,北京
"红螺寺Hongluo Temple",08:30-17:00,4.8,3.5,54,北京
"中华民族博物院China Ethnic Culture Park",08:30-17:00,4.5,4.5,45,北京
"龙门涧风景区Scenic Spots of Longmenjian",8:00-19:00,4.3,12,35,北京
"司马台长城Simatai Great Wall",9:00-15:00,4.7,3,40,北京
"北京国际鲜花港Beijing International Flower Port",09:00-17:00,4.6,2.5,30,北京
"野鸭湖国家湿地公园Beijing Wild Duck Lake National Wetland Park",9:00-16:00,4.5,3,49.5,北京
"九眼楼Jiuyanlou Mountain",8:00-18:00,4,1.5,40,北京
"紫竹院公园Purple Bamboo Park",06:00-21:00,4.7,1.5,120,北京
"双龙峡Shuanglong Gorge",08:00-17:30,4.5,3,15,北京
"京东大峡谷Jingdong Grand Canyon",7:00-17:00,4.4,3.5,67,北京
"灵水村Lingshui Village",8:30-17:30,4.3,12,20,北京
"银山塔林Yinshan Pagoda Forest",8:00-16:00,4.7,1,15,北京
"清代四川贡院Sichuan Qing Dynasty Imperial Examination Hall",8:00-18:30,4.5,2,50,南充
"太蓬山Tai Peng Mountain",08:00-18:00,4.7,1,100,南充
"阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall",09:00-18:00,4.9,2.5,45,南充
"赛里木湖Sayram Lake",10:00-20:00,4.7,108,144.6,博尔塔拉
"神仙居Shenxianju",8:00-17:00,4.5,3.5,99,台州
"国清景区Guoqing Scenic Area",7:30-16:00,4.7,1.5,12,台州
"石塘Shitang Town",7:30-17:00,4.5,144,3,台州
"台州府城文化旅游区Taizhou Fucheng Cultural Tourism Zone",7:00-17:30,4.6,2.5,8,台州
"东湖（台州府城）Donghu Lake",07:00-18:00,4.5,2.5,45,台州
"石梁飞瀑Shiliang Waterfall",8:00-16:00,4.7,3,50,台州
"景星岩Xianju Jingxing Cliff Scenic Spot & Historical Site",8:00-17:00,4.2,324,50,台州
"琼台仙谷Taizhou Qiongtai Xiangu Scenic Resort",08:00-16:00,4.6,3.5,55,台州
"淡竹休闲谷Danzhu Leisure Valley",8:00-16:30,4.1,5,44.9,台州
"大鹿岛Dalu Island",7:30-17:30,4.2,4.5,40.5,台州
"天台山大瀑布Tiantai Mountain Waterfall",08:00-17:00,4.4,2,100,台州
"高明寺Gaomingsi",09:00-17:00,4.5,1,0,台州
"温岭方山景区Wenling Fangshan Scenic Area",8:00-16:30,4.7,12,32,台州
"皤滩古镇Potan Ancient Town",8:00-16:10,4,2.5,32,台州
"华顶国家森林公园Huading National Forest Park",7:30-17:00,4.3,3,40,台州
"赤城山Chicheng Mountain",8:00-16:00,4.2,1.5,14.9,台州
"席力图召Xilitu Zhao  Temple",08:00-18:00,4.5,1,7,呼和浩特
"清真大寺Great Mosque",8:30-18:00,4.6,1,5,呼和浩特
"黄河大峡谷?老牛湾旅游区The Yellow River Grand Canyon Lao Niu Wan Tourist Area",8:00-19:00,4.4,1.5,35,呼和浩特
"乌素图召Wusutuzhao Temples",8:00-18:00,4.8,2.5,5,呼和浩特
"蒙牛工业旅游景区Mengniu Industrial Scenic Spot",9:20-11:00,4.5,2.5,6,呼和浩特
"泉寿湾（贾浪沟）旅游景区Quanshou Bay (Jialang Ditch) Scenic Spot",8:30-17:00,3.2,12,49,呼和浩特
"九宫山Jiugong Mountains",8:30-17:30,4.3,72,45,咸宁
"汉商温泉",10:30-24:00,3,6,98,咸宁
"陆水湖风景区Lushui Lake Scenic Spot",08:00-17:00,4.1,2,79,咸宁
"闯王陵Chuangwang Tomb",8:00-18:00,3.6,1.5,20,咸宁
"壶头峡漂流",10:30-15:00,3,4,180,咸宁
"万亩茶园·茶园里梦想小镇Miles Tea Garden · Tetris Town",08:30-17:30,3.5,12,55,咸宁
"印象林花生态谷Impression Linhua Ecological Valley",9:00-16:30,4.5,2.5,60,咸宁
"月岛Yuetuo Island",9:00-16:30,4.2,108,168,唐山
"菩提岛Puti Island",8:30-17:00,4.2,4,100,唐山
"金沙岛Jinsha Island",8:00-18:00,4.3,12,60,唐山
"李大钊纪念馆Li Dazhao Memorial Hall (South Gate)",8:30-17:30,4.8,2,20,唐山
"新戴河浅水湾浴场Xindai River Qianshui Bay Baths",6:00-24:00,3,2.5,10,唐山
"景忠山旅游区",8:30-17:00,3.5,24,65,唐山
"白羊峪长城旅游区Great Wall Baiyangyu Tourist Area",08:30-17:00,4.4,3,30,唐山
"禅林寺古银杏风景园Ancient Ginkgo Garden of Chanlin Temple",7:00-17:00,4.5,12,50,唐山
"万佛园Wanfoyuan",8:30-16:30,4.2,1.5,25,唐山
"长城第一墩First Pier of the Great Wall",8:30-17:30,4.3,1.5,1,嘉峪关
"悬壁长城The Great Wall in Suspension",8:30-18:30,4.4,1.5,1,嘉峪关
"嘉峪关文物景区",8:30-18:00,4.4,1.5,120,嘉峪关
"嘉峪关观复丝路博物馆Jiayuguanguan Fusilu Museum",9:00-12:00,4,1.5,0,嘉峪关
"天下第一墩The First Strategic Post",8:30-18:00,4.2,1.5,21,嘉峪关
"戏台",8:30-18:30,4.2,1,120,嘉峪关
"罗城和箭楼Luocheng and Arrow Towers",8:30-18:30,4.4,0.75,120,嘉峪关
"新城魏晋壁画墓Xincheng Mural Tombs of Wei and Jin Dynasties",9:00-17:00,4.2,2.5,1,嘉峪关
"紫轩葡萄酒庄园Zi Xuan Wine Estate",9:30-17:00,4,2.5,23,嘉峪关
"内城Neicheng",8:30-18:00,4.5,1,120,嘉峪关
"苍山Cangshan Mountain",08:30-15:00,4.5,12,100,大理
"蝴蝶泉Butterfly Spring Park",08:30-18:00,4.3,1.5,37.8,大理
"金梭岛Jinsuo Island",09:00-18:00,4,12,98,大理
"南诏风情岛Nanzhao Customs Island",08:00-17:30,4.4,1.5,44,大理
"天龙八部影视城Tianlongbabu Film Studio",08:30-17:30,3.9,2.5,35,大理
"大理苍山石门关景区Shimenguan",8:30-17:30,4.6,12,20,大理
"小普陀Little Putuo Island",9:00-18:00,4.3,1,360,大理
"苍山中和索道Cangshan Zhonghe Cableway",8:00-16:00,4.4,1.25,100,大理
"三塔倒影公园Three Pagodas Reflection Park",8:00-17:00,4.5,1.5,66,大理
"玉几岛Yuji Island",8:00-20:00,4.2,1.5,5,大理
"感通索道Gantong Ropeway",08:30-16:30,4.3,1.5,95,大理
"喜洲民居",8:00-18:00,4,3,62,大理
"张家花园Zhangjia Garden",8:00-19:00,5,1.5,80,大理
"石宝山Shibao Mountain",09:00-17:00,4.4,2.5,9,大理
"大理西湖Dali West Lake",8:00-19:00,4.5,2.5,37.8,大理
"鸡足山Jizu Mountain",08:00-18:00,4.7,3.5,50,大理
"清碧溪Qingbi Creek",9:00-17:30,4.4,1.5,80,大理
"青庐Qinglu",10:00-20:00,4.5,1.25,100,大理
"中和寺Zhonghe Temple",8:30-16:10,4.3,1,60,大理
"观音塘Guanyin Temple",8:00-18:00,4.6,1.5,0,大理
"巍宝山Weibao Mountain",08:00-17:00,4.6,3.5,38.8,大理
"玉波阁",9:00-18:00,4,0.5,0,大理
"海云居Haiyunju Temple",8:00-18:00,4.6,1.5,30,大理
"正觉寺Zhengjue Temple",9:00-21:00,4,2,0,大理
"玉几庵",9:00-18:00,4,0.5,0,大理
"洗马潭大索道Ximatan Cableway",08:00-15:00,4.5,0.6,260,大理
"双廊本主庙",9:00-18:00,4.7,0.5,0,大理
"赵氏宗祠Ancestral Hall of Family Zhao",9:00-18:00,3.8,1.5,0,大理
"天柱山Tianzhu Mountain",7:00-17:30,4.7,108,130,安庆
"三祖寺Sanzu Temple",6:00-18:00,4.1,1,288,安庆
"浮山Fushan Mountain",8:00-18:00,4.2,2.5,48.8,安庆
"巨石山Jushi Mountain",09:00-17:00,4.4,12,66,安庆
"小孤山Mount Xiaogu",08:00-17:00,4.1,2,7,安庆
"石莲洞国家森林公园Shilian Cave National Forestry Park",08:00-17:30,4.5,1,50,安庆
"白崖寨Baiyazhai",08:30-17:30,4.5,2.5,49.9,安庆
"妙道山Miaodao Mountain",8:00-17:00,4.5,72,6,安庆
"贵清山旅游风景区Guiqing Mountain Tourism Scenic Area",8:30-18:00,4.5,4,50,定西
"天井峡景区Tianjing Gorge Scenic Area",7:00-18:00,4.6,12,20,定西
"关山草原Guanshan Grasslands",08:00-18:00,4.4,4.5,55,宝鸡
"法门寺博物馆",8:00-18:00,4.7,1,120,宝鸡
"宝鸡青铜器博物院Baoji Bronzeware Museum",9:00-17:00,4.7,1.5,0,宝鸡
"红河谷森林公园Red River Resorts",08:00-18:00,4.4,4.5,6,宝鸡
"鸡峰山Jifeng Mountain",8:00-18:00,4.1,12,35,宝鸡
"炎帝陵Yan Emperor Mausoleum",08:00-17:30,4.1,1.5,6,宝鸡
"岐山周公庙景区Zhou Gong Temple",8:00-18:00,4.4,2.5,64,宝鸡
"大散关Sanguan Pass",08:30-18:00,3.8,1,44.6,宝鸡
"姜子牙钓鱼台Jiangziya Fishing Platform",8:00-18:00,4.1,1,40,宝鸡
"五丈原诸葛亮庙Wuzhangyuan Zhuge Liang Temple",8:30-17:30,4.2,2.5,25,宝鸡
"大唐秦王陵",08:30-18:00,4,1.5,35,宝鸡
"灵官峡Lingguan Gorge",8:00-17:30,4.3,2.5,45,宝鸡
"嘉陵江源头风景区Jialing River Source Scenic Area (Northwest Gate)",8:00-20:00,4.3,1.5,50,宝鸡
"桃花源Taohuayuan (“Peach Blossom Land”)",09:00-15:30,4.6,3.5,116,常德
"夷望溪Yiwang Creek",8:00-18:00,4.4,3.5,65,常德
"龙王洞Longwang Cave",08:30-16:30,4.7,1,50,常德
"石门壶瓶山Hupingshan Mountain in Shimen County",8:00-18:00,4.3,4,58,常德
"夹山国家森林公园Jiashan National Forest Park",8:00-17:30,4.3,4.5,55,常德
"五台山Mount Wutai",8:00-23:00,4.6,180,135,忻州
"忻州古城Xinzhou Ancient City",07:00-23:40,4.5,1.25,79,忻州
"万年冰洞Million-year Ice Cave National Geopark",9:00-17:00,4.4,72,120,忻州
"显通寺Xiantong Temple",08:00-17:00,4.8,2.5,120,忻州
"五台山风景名胜区-菩萨顶Pusa Ding (Bodhisattva Top)",8:00-18:00,4.8,2,120,忻州
"杨忠武祠Yang Zhongwuci",8:00-18:00,4.6,1,20,忻州
"黛螺顶Dailuoding",8:00-18:00,4.7,1.5,9,忻州
"禹王洞Yu Wang Cave",8:00-19:00,4.5,1,50,忻州
"五爷庙Wuye Temple",8:00-18:00,4.7,2.5,70,忻州
"河边民俗博物馆Hebian Folk Museum, Xinzhou",8:00-18:00,4.2,1,6,忻州
"十方堂Shifang Temple",8:00-17:00,4.8,1,4,忻州
"屏山峡谷Pingshan Grand Canyon",08:30-15:30,4.2,12,199,恩施
"恩施地心谷景区Enshi Dixin Valley Scenic Spot",08:00-15:00,4.4,3.5,105,恩施
"腾龙洞风景区Tenglong Cave",08:30-16:00,4.4,2.5,75,恩施
"神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area",08:30-17:30,4.4,2.75,95,恩施
"龙麟宫Longlin Palace",8:00-18:00,3.9,1.5,42,恩施
"云龙河地缝",08:00-16:00,4.4,3,50,恩施
"锣圈岩地质公园矅天眼景区",08:30-17:00,4,2.5,120,恩施
"巫峡口景区",08:30-18:00,3,12,120,恩施
"猕猴水寨",8:00-17:30,4,1.25,120,恩施
"惠州西湖Huizhou West Lake",8:00-21:00,4.6,12,4,惠州
"广东罗浮山风景名胜区Luofu Mountain",07:00-18:00,4.4,108,54,惠州
"三角洲岛Sanjiaozhou Island",9:00-16:30,3.8,5,118,惠州
"永记生态园Wing Kee Farm Park",8:30-18:00,4.2,4,54,惠州
"都江堰景区Dujiangyan Irrigation System",08:00-17:00,4.7,4,80,成都
"文殊院Wenshuyuan",08:00-17:00,4.6,1.5,0.9,成都
"西岭雪山Xiling Snow Mountain",09:00-17:30,4.6,4,120,成都
"杜甫草堂Du Fu's Thatched Cottage",09:00-18:00,4.6,2.5,50,成都
"熊猫谷Panda Valley",8:30-17:00,4.4,2.5,699,成都
"锦绣安仁奇境花园Jinxiu'anren Huahui Park",09:30-18:00,4.7,2.5,20,成都
"川西竹海景区Bamboo Canyon Scenic Area (Jinji Valley)",08:00-17:00,4.4,3.5,54,成都
"都江堰·玫瑰花溪谷Dujiangyan · Rose Valley",09:00-17:30,3.6,2.5,38.8,成都
"青羊宫Qingyang Palace",8:00-17:30,4.5,1.5,1,成都
"都江堰中华大熊猫苑（原熊猫乐园）Dujiangyan China Giant Panda Garden (formerly known as Panda Paradise)",08:30-16:30,4.6,2.5,53,成都
"四川建川博物馆聚落Jianchuan Museum Cluster",8:30-17:30,4.7,3,100,成都
"花水湾第一村温泉Huashuiwan First Village Hot Spring Hotel",10:00-23:55,4.4,2.5,98,成都
"鹤鸣茶社",6:30-22:00,4.6,0.75,12,成都
"成都爱道堂",8:30-17:00,5,1.5,0,成都
"望江楼公园Wangjiang Pavilion Park",08:00-18:00,4.6,2.5,1,成都
"成都永陵博物馆Chengdu Yongling",09:07-16:33,4.5,2.5,2,成都
"都江堰鱼嘴分水堤Dujiangyan Fish-mouth Water-dividing Dike",8:00-17:00,4.7,0.05,3,成都
"离堆公园Lidui Park",8:00-18:00,4.6,1.5,1,成都
"飞沙堰Feisha Dam",8:00-18:00,4.7,0.4,1,成都
"刘氏庄园博物馆Liu's Manor Museum",09:00-17:00,4.6,3,30,成都
"天师洞Tianshi Cave",8:30-17:30,4.6,0.4,3,成都
"昭觉寺Zhaojue Temple",8:00-17:00,4.6,1.5,8,成都
"瘦西湖Slender West Lake",06:30-17:30,4.7,4.5,95,扬州
"何园Ho Family Garden",07:30-18:00,4.7,1.5,42.4,扬州
"个园Geyuan Garden",7:30-17:00,4.7,1.5,42.4,扬州
"扬州古运河Yangzhou Ancient Canal",14:00-21:00,4.6,72,70,扬州
"汉广陵王墓博物馆Museum of Han Guangling King",8:30-17:00,4.6,2.5,25,扬州
"汪氏小苑Wang's Little Garden",7:15-17:45,4.3,1,30,扬州
"扬州八怪纪念馆Yangzhou Baguai Memorial Hall",08:30-17:00,4.2,1.5,20,扬州
"茱萸湾风景区Zhuyuwan Scenic Spot",07:00-16:30,4.6,12,43,扬州
"卢氏盐商住宅Residence of Salt Merchants Lu",9:00-11:00,4.2,1.5,7,扬州
"吴道台府Wu Daotai House",9:00-17:00,4.3,1.5,20,扬州
"馥园Fuyuan Garden",7:30-17:30,4.5,1,0,扬州
"捺山地质公园Nashan Geological Park",8:00-17:00,4.4,2.5,66,扬州
"高邮湖芦苇荡湿地公园Gaoyou Lake Reed Wetland Park",8:00-18:00,4,2.5,55,扬州
"高邮湖滩郊野公园Gaoyouhu Jiaoye Park",5:30-17:30,3.3,1.5,50,扬州
"唐城遗址博物馆",8:30-17:00,4.3,2.5,25,扬州
"凤凰岛生态旅游区Fenghuang Island Eco-tourism Zone",8:30-17:00,4,12,40,扬州
"盂城驿Yuchengyi Museum",8:15-17:30,4.5,1,25,扬州
"龙虬庄文化遗址Longqiuzhuang Culture Ruins",8:00-18:00,4.6,1.5,25,扬州
"文游台Wenyu Tai (Wenyu Platform)",8:30-17:30,4.4,1.5,20,扬州
"颛顼龙洞旅游景区Longtan Cave",8:30-17:00,4.3,2.5,50,攀枝花
"青龙洞Qinglong Cave",8:00-16:00,4.6,1.5,20,攀枝花
"王莽岭风景区Wangmang Ridge",08:00-16:00,4.5,5.75,9,晋城
"蟒河生态旅游区Manghe Eco-Tourism Area",08:00-17:30,4.4,2.5,30,晋城
"九女仙湖Jiunu Fairy Lake",8:00-17:00,4.2,3,9,晋城
"珏山Jueshan Mountain",8:00-5:00,4.6,3.5,50,晋城
"金沙滩生态旅游区Golden Beach Ecotourism Area",8:00-19:00,3.9,72,258,朔州
"灵隐寺Lingyin Temple",07:00-18:15,4.7,1.5,40,杭州
"杭州野生动物世界Hangzhou Safari Park",09:30-16:30,4.6,12,210,杭州
"三潭印月Three Pools Mirroring the Moon",8:00-17:00,4.6,1.5,35,杭州
"富春江Fuchun River",8:00-17:00,5,2,1,杭州
"梅峰揽胜",9:15-10:45,4.6,2.5,55,杭州
"龙门古镇Longmen Ancient Town",8:00-17:00,4.2,3,35,杭州
"青山湖Qingshan Lake",7:30-17:00,4.3,2.5,140,杭州
"禅源寺Chanyuan Temple",8:00-16:00,4.4,1.5,100,杭州
"黄公望隐居地Huang Gongwang's Reclusive Place",9:00-17:30,4.3,3,45,杭州
"桐庐天子地风景区Tianzidi",08:00-16:00,4.4,3,100,杭州
"郭庄Guo's Villa",8:00-17:00,4.6,1.75,10,杭州
"大奇山国家森林公园Daqishan National Forest Park",08:30-16:30,4.5,3,45,杭州
"上天竺法喜讲寺Shangtianzhu Temple",4:30-18:30,4.7,0.75,10,杭州
"虎跑公园Hupao Park",7:00-17:30,4.7,1.5,15,杭州
"良渚古城遗址公园Liangzhugucheng Ruins Park",9:00-17:00,4.4,3.5,20,杭州
"胡雪岩故居Hu Xueyan's Former Residence",08:00-17:00,4.7,1.5,20,杭州
"杭州植物园Hangzhou Botanical Garden",07:00-17:00,4.6,2.5,10,杭州
"西湖音乐喷泉West Lake Music Fountain",19:00-19:15,4.5,1,48,杭州
"桂花岛（猴岛）Osmanthus Island",08:00-17:30,4.5,1,50,杭州
"梅峰岛Meifeng Island",8:00-13:00,4.3,1.25,55,杭州
"黄山尖Huangshanjian",8:00-12:00,4.5,1.5,55,杭州
"浙西大峡谷West Zhejiang Grand Canyon",7:30-17:00,4.5,72,75,杭州
"超山风景区Chao Mountain Scenic Area",08:00-17:00,4.4,72,29.9,杭州
"新叶古村Xinye Ancient Village",8:00-16:30,4.1,2.5,54,杭州
"千岛湖文渊狮城度假区Wenyuan Lion City Resort",9:00-21:00,4,2.5,67.5,杭州
"岳王庙景区Yuewang Temple Scenic Area",07:30-17:30,4.6,1,25,杭州
"六和塔Liuhe Pagoda",07:00-17:30,4.7,2,10,杭州
"城隍阁景区Chenghuang Pavilion Scenic Area",8:00-20:00,4.5,3,30,杭州
"千岛湖中心湖区Thousand Island Lake, Central Lake Area",8:00-16:00,4.3,9.6,55,杭州
"黑井古镇Heijing Town",08:30-17:30,4.1,2,15,楚雄州
"彝人古镇The Ancient Town of Yi",09:00-22:00,4.5,3,99,楚雄州
"元谋土林Yuanmou Earth and Forest Scenic Resort",8:00-18:00,4.6,12,70,楚雄州
"永仁方山Yongren Square Mountain",08:00-18:00,4.7,2,10,楚雄州
"石羊古镇Shiyang Ancient Town",8:00-17:00,4.4,2,25,楚雄州
"物茂土林（虎跳滩土林）The Wumao Rock Forest (Hutiaoxia [Tiger Leaping Beach] Rock Forest)",7:00-19:00,4.7,1.5,70,楚雄州
"大姚县核桃博物馆Dayaoxian Hetao Museum",9:00-17:00,4,0.75,0,楚雄州
"红海湾旅游区Red Bay Tourist Area",8:00-19:00,3.9,108,8,汕尾
"玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple)",8:30-17:00,4.6,1.5,8,汕尾
"张坝桂圆林Zhangba Guiyuan Forest",9:00-20:00,4.6,1,2,泸州
"方山Fang Mountain",8:00-17:00,4.3,3.5,6,泸州
"黄荆原始森林Huangjing Prehistoric Forest",7:00-18:00,4.4,3,58,泸州
"倒流河旅游区Daoliu River Tourist Area",8:00-18:00,4.5,3,36,泸州
"泸州老窖景区",9:00-17:00,4.8,1.5,35,泸州
"纳溪区护国战争博物馆Naxiqu Huguo Zhanzheng Museum",9:00-17:00,4.5,2.5,0,泸州
"西南医科大学附属中医医院中医药文化博物馆Xinan Yike Daxue Fushu Zhongyi Yiyuan Zhongyiyao Culture Museum",8:00-12:00,4.5,1.5,0,泸州
"济源黄河小浪底风景区Yellow River Xiaolangdi Scenic Area in Jiyuan",8:00-18:30,4.4,3.5,60,济源
"五龙口风景区Wulongkou Scenic Area",08:00-18:00,4.2,4.5,35,济源
"济渎庙Jidu Temple",08:00-17:30,4.6,2.5,7,济源
"王屋山-黛眉山地质博物馆",8:00-18:00,3,2.5,50,济源
"洛阳黄河小浪底水利枢纽风景区Luoyang Yellow River Xiaolangdi Scenic Area",8:00-18:00,4.3,1.5,20,济源
"小沟背风景区Xiaogoubei Scenic District",8:00-18:00,4.3,2.5,40,济源
"黄河三峡Three Gorges of the Yellow River",8:00-18:00,4.3,2.5,180,济源
"沂蒙山旅游区沂山景区Mt Yimeng Tourist Area",07:30-17:00,4.4,72,40,潍坊
"浮烟山文旅公园Fuyanshan Forest Park",8:00-17:30,3.7,12,6,潍坊
"黄花溪Huanghua Creek",08:00-17:30,4.6,2.5,90,潍坊
"潍坊风筝博物馆Weifang Kite Museum",08:00-18:00,4.5,1.5,0,潍坊
"杨家埠民间艺术大观园Yangjiabu Folk Art Grand View Garden",8:00-17:30,4.2,2.5,40,潍坊
"云门山风景区Yunmenshan Scenic Spot",8:00-17:30,4.6,3.5,1,潍坊
"老龙湾Laolongwan Scenic Resort",8:00-17:00,4.4,1,34.7,潍坊
"金宝乐园Jinbao Paradise",8:00-17:00,4.5,3.5,46,潍坊
"寿光蔬菜高科技示范园Shouguang Vegetable Hi-Tech Demonstration Park",08:00-17:00,4.2,2.5,30,潍坊
"山东安丘青云山民俗游乐园Qingyun Mountain Folk-custom Amusement Park",7:30-18:00,4.4,4.5,1,潍坊
"驼山Camel Mountain",7:00-17:00,4.4,1.5,80,潍坊
"石门坊Shimen Lane",7:30-18:00,4.4,12,15,潍坊
"临朐红叶小镇樱花谷",08:30-16:30,4,2.5,35,潍坊
"圆明新园New Yuanming Palace",09:00-17:30,4.2,2.5,58,珠海
"九洲岛Jiuzhou Island",8:30-17:30,4.2,12,7,珠海
"梅溪牌坊Meixi Archway",9:00-17:30,4.3,2,32.5,珠海
"金台寺Jintai Temple",7:30-17:30,4.4,2.5,1,珠海
"珠海一棵树休闲农庄Yikeshu Leisure Farm",8:00-22:00,4,2.5,0,珠海
"鳄鱼岛Crocodile Island",08:00-17:30,3.7,2.5,1,珠海
"石博园Shiboyuan",9:00-17:30,4.1,1,38,珠海
